Line,Replicate,Regime,Rearing,Adult.count.10D.1,Adult.count.10D.2,Adult.count20D
30.3,1,30,30,35,0,35
30.3,2,30,30,47,0,47
30.3,3,30,30,140,99,239
30.3,5,30,30,82,107,189
30.4,1,30,30,1,0,1
30.4,2,30,30,99,0,99
30.4,3,30,30,111,42,153
30.4,4,30,30,0,0,0
30.4,5,30,30,44,0,44
30.6,1,30,30,46,0,46
30.6,2,30,30,108,47,155
30.6,3,30,30,89,104,193
30.6,4,30,30,114,0,114
30.6,5,30,30,80,99,179
30.7,1,30,30,99,0,99
30.7,3,30,30,99,39,138
30.7,4,30,30,123,76,199
30.7,5,30,30,35,0,35
30.9,1,30,30,0,0,0
30.9,2,30,30,105,1,106
30.9,3,30,30,124,37,161
30.9,4,30,30,0,0,0
30.11,1,30,30,62,1,63
30.11,2,30,30,3,1,4
30.11,4,30,30,99,0,99
30.13,2,30,30,119,4,123
30.15,1,30,30,0,0,0
30.15,2,30,30,0,0,0
30.15,3,30,30,0,0,0
30.15,4,30,30,170,169,339
30.15,5,30,30,80,0,80
30.3,1,30,38,124,4,128
30.3,2,30,38,0,0,0
30.3,3,30,38,0,0,0
30.3,4,30,38,171,151,322
30.3,5,30,38,135,1,136
30.6,1,30,38,158,148,306
30.6,3,30,38,48,20,68
30.6,4,30,38,134,129,263
30.6,5,30,38,38,0,38
30.7,1,30,38,193,105,298
30.7,2,30,38,0,0,0
30.7,3,30,38,113,0,113
30.7,4,30,38,0,0,0
30.7,5,30,38,0,0,0
30.9,1,30,38,0,0,0
30.9,2,30,38,56,0,56
30.9,3,30,38,63,0,63
30.9,4,30,38,0,0,0
30.9,5,30,38,200,187,387
30.11,1,30,38,0,0,0
30.11,3,30,38,0,0,0
30.11,4,30,38,0,0,0
30.11,5,30,38,0,0,0
30.13,1,30,38,0,0,0
30.15,1,30,38,0,0,0
30.15,2,30,38,129,126,255
30.15,3,30,38,163,136,299
30.15,4,30,38,0,0,0
30.15,5,30,38,1,0,1
38.1,1,38,38,0,0,0
38.1,2,38,38,67,98,165
38.1,3,38,38,127,0,127
38.1,4,38,38,145,148,293
38.1,5,38,38,91,20,111
38.2,1,38,38,27,0,27
38.2,2,38,38,84,0,84
38.2,3,38,38,147,0,147
38.2,4,38,38,102,0,102
38.2,5,38,38,136,1,137
38.3,1,38,38,143,166,309
38.3,2,38,38,137,135,272
38.3,3,38,38,103,0,103
38.3,4,38,38,0,0,0
38.3,5,38,38,105,20,125
38.4,1,38,38,159,56,215
38.4,2,38,38,5,6,11
38.4,3,38,38,132,2,134
38.4,4,38,38,6,0,6
38.4,5,38,38,124,142,266
38.12,1,38,38,0,0,0
38.12,3,38,38,69,26,95
38.6,1,38,38,110,96,206
38.6,2,38,38,60,0,60
38.6,3,38,38,35,0,35
38.6,4,38,38,117,16,133
38.6,5,38,38,0,0,0
38.7,2,38,38,14,0,14
38.7,3,38,38,0,0,0
38.7,4,38,38,0,0,0
38.8,1,38,38,0,0,0
38.8,2,38,38,121,96,217
38.8,3,38,38,43,0,43
38.8,4,38,38,113,8,121
38.8,5,38,38,12,20,32
38.1,1,38,30,185,137,322
38.1,2,38,30,129,102,231
38.1,3,38,30,98,97,195
38.1,4,38,30,147,15,162
38.1,5,38,30,156,149,305
38.2,1,38,30,127,96,223
38.2,2,38,30,161,170,331
38.2,3,38,30,189,0,189
38.2,4,38,30,186,121,307
38.3,1,38,30,4,58,62
38.3,2,38,30,137,3,140
38.3,3,38,30,125,0,125
38.3,4,38,30,135,117,252
38.3,5,38,30,1,0,1
38.4,1,38,30,41,51,92
38.4,2,38,30,150,0,150
38.4,3,38,30,66,0,66
38.4,4,38,30,144,8,152
38.4,5,38,30,109,120,229
38.12,1,38,30,177,163,340
38.12,2,38,30,167,4,171
38.12,3,38,30,53,10,63
38.12,4,38,30,137,33,170
38.12,5,38,30,162,155,317
38.6,1,38,30,142,129,271
38.6,2,38,30,0,0,0
38.6,3,38,30,161,165,326
38.6,4,38,30,139,136,275
38.6,5,38,30,101,0,101
38.7,1,38,30,0,0,0
38.7,2,38,30,136,180,316
38.7,3,38,30,85,82,167
38.7,4,38,30,0,0,0
38.7,5,38,30,201,185,386
38.8,1,38,30,138,0,138
38.8,2,38,30,83,83,166
38.8,3,38,30,0,0,0
38.8,4,38,30,57,0,57
38.8,5,38,30,0,0,0
